EFO Accession,CLO Accession,,Step,Type
EFO_0001174,CLO_0003645,,EFO-CLS-CLO,Valid
EFO_0005720,CLO_0009047,,EFO-CLS-CLO,Valid
EFO_0005352,CLO_0028368,,EFO-CLS-CLO,Valid
EFO_0002188,CLO_0003666,,EFO-CLS-CLO,Valid
EFO_0006610,CLO_0050104,,EFO-CLS-CLO,Valid
EFO_0005348,CLO_0024847,,EFO-CLS-CLO,Valid
EFO_0005351,CLO_0027332,,EFO-CLS-CLO,Valid
EFO_0005350,CLO_0025875,,EFO-CLS-CLO,Valid
EFO_0002146,CLO_0002619,,EFO-CLS-CLO,Valid
EFO_0001193,CLO_0004283,,EFO-CLS-CLO,Valid
EFO_0002145,CLO_0002617,,EFO-CLS-CLO,Valid
EFO_0006559,CLO_0002602,,EFO-CLS-CLO,Valid
EFO_0002144,CLO_0002594,,EFO-CLS-CLO,Valid
EFO_0006556,CLO_0002592,,EFO-CLS-CLO,Valid
EFO_0001157,CLO_0022591,,EFO-CLS-CLO,Valid
EFO_0001158,CLO_0022590,,EFO-CLS-CLO,Valid
EFO_0001155,CLO_0022589,,EFO-CLS-CLO,Valid
EFO_0001156,CLO_0022588,,EFO-CLS-CLO,Valid
EFO_0001161,CLO_0022838,,EFO-CLS-CLO,Valid
EFO_0001162,CLO_0022837,,EFO-CLS-CLO,Valid
EFO_0001159,CLO_0022836,,EFO-CLS-CLO,Valid
EFO_0001160,CLO_0022835,,EFO-CLS-CLO,Valid
EFO_0002787,CLO_0024916,,EFO-CLS-CLO,Valid
EFO_0002865,CLO_0021329,,EFO-CLS-CLO,Valid
EFO_0002786,CLO_0022856,,EFO-CLS-CLO,Valid
EFO_0002785,CLO_0022859,,EFO-CLS-CLO,Valid
EFO_0001152,CLO_0022544,,EFO-CLS-CLO,Valid
EFO_0001143,CLO_0019202,,EFO-CLS-CLO,Valid
EFO_0001144,CLO_0019238,,EFO-CLS-CLO,Valid
EFO_0001145,CLO_0019220,,EFO-CLS-CLO,Valid
EFO_0001146,CLO_0019229,,EFO-CLS-CLO,Valid
EFO_0001147,CLO_0018452,,EFO-CLS-CLO,Valid
EFO_0002350,CLO_0009101,,EFO-CLS-CLO,Valid
EFO_0001148,CLO_0022519,,EFO-CLS-CLO,Valid
EFO_0001149,CLO_0022579,,EFO-CLS-CLO,Valid
EFO_0001151,CLO_0022545,,EFO-CLS-CLO,Valid
EFO_0006491,CLO_0009129,,EFO-CLS-CLO,Valid
EFO_0001154,CLO_0022547,,EFO-CLS-CLO,Valid
EFO_0001153,CLO_0022546,,EFO-CLS-CLO,Valid
EFO_0001139,CLO_0019143,,EFO-CLS-CLO,Valid
EFO_0001141,CLO_0019141,,EFO-CLS-CLO,Valid
EFO_0006390,CLO_0002798,,EFO-CLS-CLO,Valid
EFO_0001136,CLO_0019121,,EFO-CLS-CLO,Valid
EFO_0001138,CLO_0019124,,EFO-CLS-CLO,Valid
EFO_0001132,CLO_0020426,,EFO-CLS-CLO,Valid
EFO_0001133,CLO_0020425,,EFO-CLS-CLO,Valid
EFO_0001129,CLO_0020480,,EFO-CLS-CLO,Valid
EFO_0001130,CLO_0020479,,EFO-CLS-CLO,Valid
EFO_0001127,CLO_0020506,,EFO-CLS-CLO,Valid
EFO_0001128,CLO_0020487,,EFO-CLS-CLO,Valid
EFO_0001142,CLO_0019200,,EFO-CLS-CLO,Valid
EFO_0002310,CLO_0008240,,EFO-CLS-CLO,Valid
EFO_0001085,CLO_0009908,,EFO-CLS-CLO,Valid
EFO_0002784,CLO_0022851,,EFO-CLS-CLO,Valid
EFO_0006575,CLO_0003554,,EFO-CLS-CLO,Valid
EFO_0006577,CLO_0003564,,EFO-CLS-CLO,Valid
EFO_0001150,CLO_0022578,,EFO-CLS-CLO,Valid
EFO_0001140,CLO_0019142,,EFO-CLS-CLO,Valid
EFO_0001137,CLO_0019125,,EFO-CLS-CLO,Valid
EFO_0001126,CLO_0020509,,EFO-CLS-CLO,Valid
EFO_0001125,CLO_0020508,,EFO-CLS-CLO,Valid
EFO_0001124,CLO_0020500,,EFO-CLS-CLO,Valid
EFO_0001123,CLO_0020041,,EFO-CLS-CLO,Valid
EFO_0006703,CLO_0050789,,EFO-CLS-CLO,Valid
EFO_0001134,CLO_0020648,,EFO-CLS-CLO,Valid
EFO_0001131,CLO_0020482,,EFO-CLS-CLO,Valid
EFO_0005482,CLO_0001363,,EFO-CLS-CLO,Valid
EFO_0006273,CLO_0002405,,EFO-CLS-CLO,Valid
EFO_0001135,CLO_0020650,,EFO-CLS-CLO,Valid
EFO_0002189,CLO_0003667,,EFO-CLS-CLO,Valid
EFO_0001117,CLO_0020090,,EFO-CLS-CLO,Valid
EFO_0001121,CLO_0020020,,EFO-CLS-CLO,Valid
EFO_0002327,CLO_0009005,,EFO-CLS-CLO,Valid
EFO_0002325,CLO_0008965,,EFO-CLS-CLO,Valid
EFO_0002789,CLO_0027144,,EFO-CLS-CLO,Valid
EFO_0002788,CLO_0027146,,EFO-CLS-CLO,Valid
EFO_0002790,CLO_0027143,,EFO-CLS-CLO,Valid
EFO_0006535,CLO_0001764,,EFO-CLS-CLO,Valid
EFO_0002850,CLO_0050027,,EFO-CLS-CLO,Valid
EFO_0002847,CLO_0050067,,EFO-CLS-CLO,Valid
EFO_0001218,CLO_0007680,,EFO-CLS-CLO,Valid
EFO_0003115,CLO_0050039,,EFO-CLS-CLO,Valid
